Date Time,Week,Net Peaking Capability (MW),Peak Load (MW),Operating Reserve (MW)
20211202,4,33971,30150,3821
20211203,5,34641,29675,4967
20211204,6,31522,27104,4418
20211205,7,29808,26188,3620
20211206,1,33979,30187,3792
20211207,2,33105,30264,2841
20211208,3,34530,30286,4243
20211209,4,34119,30863,3256
20211210,5,33948,30417,3531
20211211,6,31070,27797,3273
20211212,7,30720,26205,4515
20211213,1,34324,30241,4083
20211214,2,33801,30751,3050
20211215,3,33678,30992,2686
20211216,4,33884,31020,2864
20211217,5,36586,29970,6616
20211218,6,31221,26942,4279
20211219,7,29514,26086,3428
20211220,1,33026,30384,2642
20211221,2,33610,30748,2862
20211222,3,33818,30761,3057
20211223,4,33440,31017,2423
20211224,5,33391,30200,3190
20211225,6,30323,27288,3035
20211226,7,30001,26572,3429
20211227,1,34054,30287,3768
20211228,2,33225,29973,3253
20211229,3,32720,29913,2807
20211230,4,33412,29036,4376
20211231,5,30370,26443,3927
20220101,6,29007,25661,3346
20220102,7,29556,25915,3641
20220103,1,33160,29976,3184
20220104,2,32950,30330,2620
20220105,3,32961,30449,2512
20220106,4,33485,30276,3209
20220107,5,32972,29962,3010
20220108,6,30503,27356,3147
20220109,7,29720,26562,3158
20220110,1,32696,30205,2491
20220111,2,32878,30464,2414
20220112,3,32426,30206,2220
20220113,4,32642,30167,2475
20220114,5,32524,29843,2681
20220115,6,30085,27792,2293
20220116,7,30222,26793,3429
20220117,1,33302,30586,2716
20220118,2,33034,30609,2425
20220119,3,33319,30317,3002
20220120,4,33281,30620,2661
20220121,5,32922,30743,2179
20220122,6,32518,29486,3032
20220123,7,29462,27161,2301
20220124,1,33477,30310,3167
20220125,2,32970,30007,2963
20220126,3,32599,30050,2549
20220127,4,32870,29406,3464
20220128,5,32353,27653,4700
20220129,6,29565,26219,3346
20220130,7,28194,25107,3087
20220131,1,26232,23121,3111
20220201,2,27302,22881,4421
20220202,3,26200,22967,3233
20220203,4,27091,23955,3136
20220204,5,28268,24691,3577
20220205,6,28246,25315,2931
20220206,7,28991,25883,3108
20220207,1,32739,29753,2986
20220208,2,33384,29989,3395
20220209,3,33102,30269,2833
20220210,4,33351,30379,2972
20220211,5,33508,30165,3343
20220212,6,30938,28017,2921
20220213,7,30795,27038,3757
20220214,1,33538,30572,2966
20220215,2,33475,30598,2877
20220216,3,34156,30491,3665
20220217,4,33843,30800,3043
20220218,5,33809,30625,3184
20220219,6,31380,28391,2989
20220220,7,31406,28434,2972
20220221,1,33367,31361,2006
20220222,2,33580,30977,2603
20220223,3,33885,31318,2567
20220224,4,33609,31098,2511
20220225,5,33527,30121,3406
20220226,6,31259,27822,3437
20220227,7,29926,26196,3730
20220228,1,31464,27337,4127
