Date Time,Week,Operating Reserve (MW)
20191023,3,3778.9
20191024,4,3829
20191025,5,4119.8
20191026,6,3101.5
20191027,7,2762.1
20191028,1,4052.4
20191029,2,4616.2
20191030,3,3665.7
20191031,4,3638.7
20191101,5,3930.6
20191102,6,3378.2
20191103,7,3420.4
20191104,1,3455.3
20191105,2,3768.7
20191106,3,3343.4
20191107,4,3751.8
20191108,5,4740.2
20191109,6,3709.4
20191110,7,3032.9
20191111,1,3607
20191112,2,3591.9
20191113,3,3299.8
20191114,4,3822.6
20191115,5,3150.6
20191116,6,3199.7
20191117,7,2589.7
20191118,1,3037
20191119,2,3337.5
20191120,3,3346.6
20191121,4,2995.8
20191122,5,2969.2
20191123,6,2694.4
20191124,7,3190.1
20191125,1,2968.5
20191126,2,3311.5
20191127,3,3565.1
20191128,4,3418.3
20191129,5,3391.999
20191130,6,3003.2
20191201,7,3424.9
20191202,1,3461.8
20191203,2,3150
20191204,3,3052.8
20191205,4,3022.6
20191206,5,3414.3
20191207,6,2900.6
20191208,7,2955.5
20191209,1,3204.5
20191210,2,3146.2
20191211,3,3202.3
20191212,4,2997.4
20191213,5,3153.5
20191214,6,3035
20191215,7,2812.4
20191216,1,3038.8
20191217,2,3189
20191218,3,3254.8
20191219,4,3107.1
20191220,5,3146
20191221,6,2815.7
20191222,7,2747.2
20191223,1,3329.4
20191224,2,3283.4
20191225,3,3606.3
20191226,4,3262.3
20191227,5,3205.9
20191228,6,3152.1
20191229,7,2899.8
20191230,1,3142.9
20191231,2,3107.4
20200101,3,2790
20200102,4,3080.4
20200103,5,3383.1
20200104,6,3636.2
20200105,7,2694.7
20200106,1,3009.3
20200107,2,3103.9
20200108,3,3235.4
20200109,4,3131.3
20200110,5,3298.2
20200111,6,3851
20200112,7,3090.8
20200113,1,3156.8
20200114,2,3412.2
20200115,3,3386.4
20200116,4,3005.2
20200117,5,3399.3
20200118,6,3159.4
20200119,7,3334.5
20200120,1,3183.1
20200121,2,3259
20200122,3,3886.7
20200123,4,3344.3
20200124,5,3482.9
20200125,6,3551.5
20200126,7,3530.6
20200127,1,3704
20200128,2,3653.1
20200129,3,3303.7
20200130,4,2991.5
20200131,5,3361.5
20200201,6,3890.7
20200202,7,3247.3
20200203,1,4088.3
20200204,2,3301.6
20200205,3,3642.6
20200206,4,3346.9
20200207,5,3767.2
20200208,6,3660.2
20200209,7,3084.4
20200210,1,3145.5
20200211,2,3218.6
20200212,3,3347.9
20200213,4,3246.2
20200214,5,3123.4
20200215,6,2995.9
20200216,7,3984.9
20200217,1,3743.6
20200218,2,4249.2
20200219,3,3563.6
20200220,4,3131.5
20200221,5,3137.9
20200222,6,3674.6
20200223,7,3739.6
20200224,1,3010.5
20200225,2,3124.2
20200226,3,3166.7
20200227,4,4253.3
20200228,5,3286.2
20200229,6,2806.3
20200301,7,3320.4
20200302,1,3295.4
20200303,2,3106.1
20200304,3,3758.2
20200305,4,3517.8
20200306,5,3178.6
20200307,6,3711.9
20200308,7,3378.5
20200309,1,3208.7
20200310,2,3930.66
20200311,3,3254.8
20200312,4,3001.7
20200313,5,3098.1
20200314,6,3825.7
20200315,7,3492.3
20200316,1,4820.1
20200317,2,4143.6
20200318,3,4153.1
20200319,4,3085.5
20200320,5,3699.9
20200321,6,3019.9
20200322,7,3086
20200323,1,3771.2
20200324,2,4125.3
20200325,3,3576.7
20200326,4,3187.3
20200327,5,3264.4
20200328,6,4066.1
20200329,7,3489.9
20200330,1,3508.2
20200331,2,3321.6
20200401,3,4094.7
20200402,4,4108.1
20200403,5,3748.9
20200404,6,4414.2
20200405,7,4249.3
20200406,1,4054.3
20200407,2,4037.1
20200408,3,3363.7
20200409,4,3678.1
20200410,5,4650.3
20200411,6,3178.8
20200412,7,2809.1
20200413,1,3327.6
20200414,2,3562.9
20200415,3,3496.8
20200416,4,3144
20200417,5,3608.9
20200418,6,3488.6
20200419,7,3027.4
20200420,1,4091.1
20200421,2,4375.7
20200422,3,4030.6
20200423,4,3948.2
20200424,5,3947.7
20200425,6,3166.4
20200426,7,3120.2
20200427,1,3810.5
20200428,2,4687.1
20200429,3,3345.7
20200430,4,4864.4
20200501,5,3512
20200502,6,3413.7
20200503,7,2966.6
20200504,1,3475.5
20200505,2,3399.6
20200506,3,3426.3
20200507,4,3735.46
20200508,5,3413.975
20200509,6,3823.605
20200510,7,3014.95
20200511,1,3350.37
20200512,2,3765.592
20200513,3,4198.89
20200514,4,3381.94
20200515,5,3621.9
20200516,6,3946.768
20200517,7,4240.758
20200518,1,4085.35
20200519,2,4625.78
20200520,3,4950.56
20200521,4,3983.06
20200522,5,3675.13
20200523,6,4060.92
20200524,7,4288.77
20200525,1,3942.07
20200526,2,3562.955
20200527,3,4932.28
20200528,4,5261.11
20200529,5,4098.67
20200530,6,4186.245
20200531,7,3429.75
20200601,1,3632.785
20200602,2,4070.865
20200603,3,4162.55
20200604,4,3753.82
20200605,5,3682.7
20200606,6,4239.7
20200607,7,4535.5
20200608,1,4579.81
20200609,2,4515.4
20200610,3,4367.29
20200611,4,3985.43
20200612,5,3586.405
20200613,6,3764.505
20200614,7,4572.17
20200615,1,5033.27
20200616,2,4021.88
20200617,3,3975.316
20200618,4,4191.5
20200619,5,3861.3
20200620,6,3675.29
20200621,7,3483.72
20200622,1,3849.8
20200623,2,3767.8
20200624,3,4086.575
20200625,4,3378.685
20200626,5,3907.57
20200627,6,3619.69
20200628,7,3412.21
20200629,1,4013.63
20200630,2,4646.47
20200701,3,4029.545
20200702,4,4457.685
20200703,5,4130.985
20200704,6,4287.365
20200705,7,3475.135
20200706,1,5015.645
20200707,2,4609.995
20200708,3,4315.46
20200709,4,4366.7
20200710,5,4379
20200711,6,3671.727
20200712,7,3518.14
20200713,1,3973.68
20200714,2,3923.83
20200715,3,4209.79
20200716,4,5084.53
20200717,5,4256.245
20200718,6,4321.09
20200719,7,4128.645
20200720,1,4268.325
20200721,2,5133.405
20200722,3,4266.17
20200723,4,3847.835
20200724,5,4128.885
20200725,6,4697.035
20200726,7,4717.89
20200727,1,4565.2
20200728,2,4530.72
20200729,3,4844.14
20200730,4,5460.255
20200731,5,4138.555
20200801,6,4120.85
20200802,7,3809.96
20200803,1,4897.65
20200804,2,4353.42
20200805,3,4386.9
20200806,4,3853.11
20200807,5,3859.45
20200808,6,3871.51
20200809,7,3187.16
20200810,1,3726.01
20200811,2,4383.77
20200812,3,4270.18
20200813,4,4651.07
20200814,5,5021.77
20200815,6,4941.13
20200816,7,4622.38
20200817,1,4584.69
20200818,2,4235.93
20200819,3,3869.2
20200820,4,4383.94
20200821,5,3862.29
20200822,6,3398.15
20200823,7,3296.64
20200824,1,3694.3
20200825,2,3812.61
20200826,3,3795.98
20200827,4,4544.61
20200828,5,4272.46
20200829,6,4173.5
20200830,7,4085.56
20200831,1,4718.78
20200901,2,4478.35
20200902,3,3868.54
20200903,4,4810.856
20200904,5,4870.056
20200905,6,3922.55
20200906,7,3873.34
20200907,1,4362.54
20200908,2,4154.67
20200909,3,4176.6
20200910,4,4255
