Date Time,Week,Net Peaking Capability (MW),Peak Load (MW),Operating Reserve (MW),Low Consumption,High Consumption
20201216,3,32818,29798,3020.59,0,1
20201217,4,32878,29878,3000.27,0,1
20201218,5,32849,29802,3047.2,0,1
20201219,6,29790,26743,3046.68,0,1
20201220,7,29274,25658,3716.33,1,0
20201221,1,32722,29650,3072.6,1,0
20201222,2,33107,29908,3198.84,0,1
20201223,3,33388,30312,3076.31,0,1
20201224,4,33402,29857,3544.739,0,1
20201225,5,32717,29299,3417.97,0,1
20201226,6,29798,26732,3065.95,0,1
20201227,7,28846,25977,2868.795,1,0
20201228,1,32626,29491,3134.859,1,0
20201229,2,33114,30020,3093.26,0,1
20201230,3,32211,29093,3117.59,0,1
20201231,4,31598,28444,3153.776,0,1
20210101,5,28487,25720,2767,0,1
20210102,6,28421,25485,2936,0,1
20210103,7,28513,25476,3037,1,0
20210104,1,32766,29734,3032,1,0
20210105,2,33117,30050,3067,0,1
20210106,3,33429,30327,3102,0,1
20210107,4,33602,30500,3102,0,1
20210108,5,33518,30412,3105,0,1
20210109,6,31269,28068,3202,0,1
20210110,7,30161,27255,2906,1,0
20210111,1,33772,30679,3093,1,0
20210112,2,33749,30633,3116,0,1
20210113,3,33108,29994,3114,0,1
20210114,4,33153,30021,3132,0,1
20210115,5,32864,29555,3310,0,1
20210116,6,30167,27121,3046,0,1
20210117,7,29746,26712,3035,1,0
20210118,1,33095,29938,3157,1,0
20210119,2,33148,29990,3159,0,1
20210120,3,33134,29984,3149,0,1
20210121,4,33359,30285,3074,0,1
20210122,5,33192,30095,3097,0,1
20210123,6,30421,27218,3203,0,1
20210124,7,28790,25717,3073,1,0
20210125,1,33063,29794,3269,1,0
20210126,2,33152,29933,3219,0,1
20210127,3,32652,29588,3064,0,1
20210128,4,32843,29557,3286,0,1
20210129,5,32472,29269,3203,0,1
20210130,6,30109,26662,3447,0,1
20210131,7,28364,25458,2906,1,0
20210201,1,31980,29042,2938,1,0
20210202,2,32772,29726,3045,0,1
20210203,3,32629,29623,3006,0,1
20210204,4,32787,29655,3132,0,1
20210205,5,32351,29291,3060,0,1
20210206,6,29743,26677,3066,0,1
20210207,7,28678,25915,2763,1,0
20210208,1,30962,27915,3047,1,0
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210218,4,31440,28533,2907,0,1
20210227,6,29214,26456,2758,0,1
20210228,7,27689,25017,2672,1,0
20210301,1,29388,26556,2832,1,0
20210302,2,32637,29416,3221,0,1
20210303,3,32752,29677,3075,0,1
20210304,4,32873,29785,3088,0,1
20210305,5,33137,29869,3268,0,1
20210306,6,29717,26912,2805,0,1
20210307,7,28545,25794,2752,1,0
20210308,1,32882,29772,3110,1,0
20210309,2,32995,29947,3048,0,1
20210310,3,32961,29906,3055,0,1
20210311,4,33116,30040,3077,0,1
20210312,5,33200,29928,3272,0,1
20210313,6,29872,26797,3075,0,1
20210314,7,28574,25641,2933,1,0
20210315,1,33163,30088,3074,1,0
20210316,2,33771,30684,3087,0,1
20210317,3,33899,30716,3183,0,1
20210318,4,33938,30724,3214,0,1
20210319,5,34002,30865,3137,0,1
20210320,6,30585,27747,2839,0,1
20210321,7,28874,25688,3186,1,0
20210322,1,32832,29607,3224,1,0
20210323,2,33263,29726,3537,0,1
20210324,3,33109,30050,3059,0,1
20210325,4,33126,29854,3272,0,1
20210326,5,33208,29929,3279,0,1
20210327,6,30894,27693,3200,0,1
20210328,7,29783,26864,2919,1,0
20210329,1,34641,31460,3181,1,0
20210414,3,33845,30610,3235,0,1
20210415,4,33900,30692,3208,0,1
20210416,5,33989,30669,3320,0,1
20210417,6,30434,27551,2883,0,1
20210418,7,28991,26128,2863,1,0
20210419,1,33851,30760,3091,1,0
20210420,2,34546,31332,3214,0,1
20210421,3,35186,31884,3302,0,1
20210422,4,36050,32765,3285,0,1
20210423,5,35469,32135,3335,0,1
20210424,6,31402,28413,2989,0,1
20210425,7,29452,26541,2911,1,0
20210426,1,34525,31328,3198,1,0
20210427,2,35241,31767,3474,0,1
20210428,3,34680,31511,3169,0,1
20210429,4,33519,30223,3296,0,1
20210430,5,31458,28400,3058,0,1
20210501,6,30174,27290,2884,0,1
20210502,7,30183,27208,2975,1,0
20210503,1,35000,31766,3234,1,0
20210504,2,36402,33042,3360,0,1
20210505,3,36254,32676,3578,0,1
20210506,4,36541,33076,3465,0,1
20210507,5,37704,34186,3518,0,1
20210508,6,33644,30339,3305,0,1
20210509,7,32192,29217,2975,1,0
20210510,1,38606,35087,3519,1,0
20211102,2,34776,31827,2949,0,1
20211103,3,36321,32115,4206,0,1
20211104,4,36217,32450,3767,0,1
20211105,5,36120,33302,2818,0,1
20211106,6,35347,29876,5471,0,1
20211107,7,30861,28277,2584,1,0
20211108,1,36624,31207,5417,1,0
20211109,2,34155,30241,3914,0,1
20211110,3,33811,30125,3685,0,1
20211111,4,34089,30232,3857,0,1
20211112,5,34264,29946,4319,0,1
20211113,6,32410,27293,5117,0,1
20211114,7,30894,26067,4828,1,0
20211115,1,34260,30689,3571,1,0
20211116,2,35096,31197,3899,0,1
20211117,3,35310,31451,3858,0,1
20211118,4,34746,31280,3466,0,1
20211119,5,37044,31340,5704,0,1
20211120,6,32372,28278,4095,0,1
20211121,7,31360,27262,4098,1,0
20211122,1,36938,30330,6608,1,0
20211123,2,34242,30206,4036,0,1
20211124,3,34321,30463,3859,0,1
20211125,4,34715,30778,3937,0,1
20211126,5,34263,30174,4089,0,1
20211127,6,31417,27690,3727,0,1
20211128,7,30156,26721,3435,1,0
20211129,1,33850,31077,2773,1,0
20211130,2,34452,30445,4007,0,1
20211201,3,34388,29832,4556,0,1
20211202,4,33971,30150,3821,0,1
20211203,5,34641,29675,4967,0,1
20211204,6,31522,27104,4418,0,1
20211205,7,29808,26188,3620,1,0
20211206,1,33979,30187,3792,1,0
20211207,2,33105,30264,2841,0,1
20211208,3,34530,30286,4243,0,1
20211209,4,34119,30863,3256,0,1
20211210,5,33948,30417,3531,0,1
20211211,6,31070,27797,3273,0,1
20211212,7,30720,26205,4515,1,0
20211213,1,34324,30241,4083,1,0
20211214,2,33801,30751,3050,0,1
20211215,3,33678,30992,2686,0,1
20211216,4,33884,31020,2864,0,1
20211217,5,36586,29970,6616,0,1
20211218,6,31221,26942,4279,0,1
20211219,7,29514,26086,3428,1,0
20211220,1,33026,30384,2642,1,0
20211221,2,33610,30748,2862,0,1
20211222,3,33818,30761,3057,0,1
20211223,4,33440,31017,2423,0,1
20211224,5,33391,30200,3190,0,1
20211225,6,30323,27288,3035,0,1
20211226,7,30001,26572,3429,1,0
20211227,1,34054,30287,3768,1,0
20211228,2,33225,29973,3253,0,1
20211229,3,32720,29913,2807,0,1
20211230,4,33412,29036,4376,0,1
20211231,5,30370,26443,3927,0,1
20220101,6,29007,25661,3346,0,1
20220102,7,29556,25915,3641,1,0
20220103,1,33160,29976,3184,1,0
20220104,2,32950,30330,2620,0,1
20220105,3,32961,30449,2512,0,1
20220106,4,33485,30276,3209,0,1
20220107,5,32972,29962,3010,0,1
20220108,6,30503,27356,3147,0,1
20220109,7,29720,26562,3158,1,0
20220110,1,32696,30205,2491,1,0
20220111,2,32878,30464,2414,0,1
20220112,3,32426,30206,2220,0,1
20220113,4,32642,30167,2475,0,1
20220114,5,32524,29843,2681,0,1
20220115,6,30085,27792,2293,0,1
20220116,7,30222,26793,3429,1,0
20220117,1,33302,30586,2716,1,0
20220118,2,33034,30609,2425,0,1
20220119,3,33319,30317,3002,0,1
20220120,4,33281,30620,2661,0,1
20220121,5,32922,30743,2179,0,1
20220122,6,32518,29486,3032,0,1
20220123,7,29462,27161,2301,1,0
20220124,1,33477,30310,3167,1,0
20220208,2,33384,29989,3395,0,1
20220209,3,33102,30269,2833,0,1
20220210,4,33351,30379,2972,0,1
20220211,5,33508,30165,3343,0,1
20220212,6,30938,28017,2921,0,1
20220213,7,30795,27038,3757,1,0
20220214,1,33538,30572,2966,1,0
20220215,2,33475,30598,2877,0,1
20220216,3,34156,30491,3665,0,1
20220217,4,33843,30800,3043,0,1
20220218,5,33809,30625,3184,0,1
20220219,6,31380,28391,2989,0,1
20220220,7,31406,28434,2972,1,0
20220221,1,33367,31361,2006,1,0
20220222,2,33580,30977,2603,0,1
20220223,3,33885,31318,2567,0,1
20220224,4,33609,31098,2511,0,1
20220225,5,33527,30121,3406,0,1
20220226,6,31259,27822,3437,0,1
20220227,7,29926,26196,3730,1,0
20220228,1,31464,27337,4127,1,0
